aaf_id,team,player,headline,blurb,date,author
MrCulWiIV_vBdrkYTrojBDpun75X,ATL,Aaron Murray,Aaron Murray benched in ugly loss.,"Aaron Murray looked over-matched throughout most of Saturday's action, throwing for a miniscule 135 yards and two interceptions. Matt Simms came in to replace Murray and could get the start in Week 8. Overall, this Atlanta offense looks like one to avoid for fantasy purposes. ",2019-03-24,Matthew Gajewski
Mr5k7hAZFnvFAoDhfOnpMECSCZeC,ATL,Tarean Folston,Folston totals 56 yards on 8 carries and 2 catches,"With Atlanta losing by 30 points, game script worked against Tarean Folston from the start. Folston continued to split work with Brandon Radcliff in Week 6, but looked like the superior back. Expect Folston to work as Atlanta's primary back in future weeks.",2019-03-24,Matthew Gajewski
MpewpcPmXWw7dlR2o48Yu7NOKPbQ,ATL,Brandon Radcliff,Radcliff mixes in for 26 yards on 9 touches,"Working as Atlanta's 1B behind Tarean Folston, Brandon Radcliff disappointed with 26 total yards from scrimmage. Importantly, Radcliff remained involved as a pass catcher, but this Atlanta team offers few scoring opportunities and should continue to struggle in future weeks. Radcliff remains a risky proposition for fantasy football. ",2019-03-24,Matthew Gajewski
MgXuu1IplE-oQRh9H5EBHX0Uzs_J,ATL,Seantavius Jones,S. Jones busts with 1 catch for 18 yards,"Despite the negative game script, Seantavius Jones managed only 1 catch for 18 yards on 4 targets. Seantavius remained a starter for Atlanta but worked behind Malachi Jones. With Atlanta projected to trail often this season, Seantavius could pop up for big games in the future. ",2019-03-24,Matthew Gajewski
MiIK7hSbu0NBdYcQyeRrXYckoMiR,ATL,Justin Thomas,Thomas fails to make impact with 1 catch for 16 yards,"While Justin Thomas worked as a starter for Atlanta, he reeled in only 1 of 3 targets for 16 yards. Without efficient quarterback play, all Atlanta receivers will remain hard to trust going forward. Facing the Iron next week, the going could be tough for Thomas again.",2019-03-24,Matthew Gajewski
MmuNa1g5wLa6Qj-ndC8Iav3eT1xT,ATL,Malachi Jones,Malachi Jones finishes as Atlanta's lone bright spot with TD,"Malachi Jones led Atlanta in receiving with 6 catches for 53 yards and a touchdown. Aaron Murray locked onto Malachi through much of this contest, but Atlanta still failed to generate drives. Despite the impressive fantasy day, all of Atlanta's receivers remain risky plays in fantasy. ",2019-03-24,Matthew Gajewski
Mm7AJ6Byhebu0DEBXteDAaFkzjWH,BIR,Luis Perez,Perez lumbers way to alright day in loss,"After having the best game of his AAF career, Perez follows it up with 2 more passing TDs and 235 passing yards. Perez also uncharacteristically ran for 27 yards. While Perez did not lead the team to a victory, he was not the reason they lost as he did not turn the ball over once. Next week, Perez faces a tough Legends secondary.",2019-03-25,Jackson
MjiTEx33U92uj4oT_o0nS86vlwP9,BIR,Trent Richardson,Richardson scores again in loss,"Richardson finally averaged over 3 YPC as he posted a 16/56 line on the ground and scored a TD and two 2pt conversions. Seven games in and Richardson has scored in every single game and has been one of the more consistent producers in the passing game. Next week, Richardson is licking his chops to play a Legends' defense that he posted a hat-trick on earlier in the season.",2019-03-25,Jackson
MvmOLxRYf5EpHnnw3KboJ64aj5U8,BIR,Quinton Patton,Patton keeps racking up targets but no production to show for it,"Patton has continued to see double digit targets -- 10 this week -- but only turned it into 5 catches for 46 yards. This has been the story every week as Patton just continues to post gaudy target numbers but no production to show for it. Next week, he will look to turn that trend around against a good Atlanta secondary.",2019-03-25,Jackson
MpyqEM1_gXIsD4IUZIqZWH4orGOo,BIR,L'Damian Washington,Washington gets injured early in loss,"Coming off a huge week, Washington was in for a big game versus the Express but he barely missed out on a big catch early and left the game with an injury. Washington had been transitioning to the primary outside receiver so it was disappointing to not see him play a ton. He is someone whose health you should monitor going into next week.",2019-03-25,Jackson
Ml9cOZHecV3pc9mEGX4ZR4Y6ZkMB,BIR,Amba Etta-Tawo,Etta-Tawo posts 3/71 line in return from injury,"After not playing since week 1, Amba Etta-Tawo came back and retook his starting role and played well. Tawo received 4 targets and caught 3 of them for 71 yards despite only seeing 38 air yards. Looking forward, the health status of teammate L'Damian Washington will affect Tawo's opportunity next week.",2019-03-25,Jackson
Mnkh1iQb4Y5isX532bIn6EImwKO-,MEM,Brandon Silvers,Silvers battles back and leads team to comeback win,"Despite all the buzz about Johnny Manziel, Brandon Silvers put on a second half show and led the Express to an overtime victory. Silvers was pulled for Manziel at times but was the guy that coach Singletary turned to in crunch time. Silvers stood tall and delivered the game tying TD and 2pt conversion and found Daniel Williams for the game winning touchdown in overtime. Silvers will face a tall task next week against a playoff bound Apollos squad.",2019-03-25,Jackson
MmRe-7NBO9YIy6K94hDWw8-mvOXf,MEM,Johnny Manziel,Manziel makes plays in limited debut,It was a little surprising to see Manziel play as he only had one week of practice but coach Singletary trusted him enough to give him some playing time. Manziel did not play too bad either as he completed 3 of 5 passes for 48 yards and tacked on 20 rushing yards to go along with it. It remains to be seen how much Manziel will play next week against Orlando.,2019-03-25,Jackson
MjQz3RHcgjyoXXVYFkrbYJBL3yvn,MEM,Zac Stacy,Stacy continues to struggle on the ground.,"Stacy has been a very inefficient on the ground and it continued this week as he turned 13 carries into only 14 yards. Whether it is Stacy or this seemingly inept Memphis offensive line, it doesn't matter because the production is not there at all. Next week he might not have many opportunities against an explosive Orlando team.",2019-03-25,Jackson
Mv5aLcnX86bjZaa2ms87A1SdYdZd,MEM,Terrence Magee,Magee hits paydirt in thrilling win,"Magee is still not getting a ton of playing time but boy is he taking advantage of it. Magee had a really good TD run, spinning off a defender on the 1 yard line and he also made plays in the passing game. With Stacy struggling, Magee could see some additional run next week against Orlando.",2019-03-25,Jackson
