id,name,position,team,projection,fb_salary
MkPvvbYvaVNNPxdSnPAYxFKkEa0Y,John Wolford,QB,ARZ,21.22,6600
MqGd44MUMsf1cWf9eclgu5gZxo_b,Garrett Gilbert,QB,ORL,20,6300
Mm7AJ6Byhebu0DEBXteDAaFkzjWH,Luis Perez,QB,BHM,16.71,6000
MiUKbbFISV5aL8sntaxSOLtUpPRE,Logan Woodside,QB,SA,14.41,6100
MmmuFoG-vnNtsk7UNiIQVAlP6iFp,Philip Nelson,QB,SD,15.39,5200
MvvjScH-3vsslt5_WLNxjEcYd7wj,Matt Linehan,QB,SLC,1.08,5000
MslD5In5tqTq-Wa_R1hyVprcNKb6,Christian Hackenberg,QB,MEM,11.33,5100
MrheAoooRuZ0B2xqcIr7XnBLZDoW,Matt Simms,QB,ATL,9.34,5600
MrCulWiIV_vBdrkYTrojBDpun75X,Aaron Murray,QB,ATL,3.52,5400
Mlx6Z1X5i5Av-jLpFjMD0O5wHPBX,Mike Bercovici,QB,SD,1.56,5900
Mqnq5l339f1e7sM0Ypu4qHaoIBdh,Austin Appleby,QB,ORL,1.51,5000
Mnkh1iQb4Y5isX532bIn6EImwKO-,Brandon Silvers,QB,MEM,1.28,5100
Mg7ESCLcQeEi-Z0oZGFiwY2--zlS,Josh Woodrum,QB,SLC,13.85,5500
Mtd5_MUsT9kODDCWx2Xbgr5IqD5c,Kevin Anderson,QB,ORL,0.4,5000
MjiTEx33U92uj4oT_o0nS86vlwP9,Trent Richardson,RB,BHM,15.86,7000
Mqov-trF95R18wq3KsfAxd4YinmG,Jhurell Pressley,RB,ARZ,12.52,6900
Muh23P6Whs1oYp8njPCCEt0psh-G,Akeem Hunt,RB,ORL,11.85,6400
Mr5k7hAZFnvFAoDhfOnpMECSCZeC,Tarean Folston,RB,ATL,8.77,5600
Mqs-U1gQrf9_eTiz3LS8GR68hjsZ,Ja'Quan Gardner,RB,SD,9.03,5400
Mg5pmFv_IbDbejfUsLji-uwwKVUv,Ladarius Perkins,RB,BHM,7.03,4800
MsQPaUeKdRzJSNKUmf9eYi6fhFDv,"Kenneth Farrow, II",RB,SA,6.46,6000
MsSyIj8ll2VgHiA2jn2sa1vGnFgt,Branden Oliver,RB,SLC,6.47,3900
MoIfI6pzRT6PEupCPEz5uDPNSp9E,Joel Bouagnon,RB,SLC,6.56,6600
MjQz3RHcgjyoXXVYFkrbYJBL3yvn,Zac Stacy,RB,MEM,6,6300
MrcbTGRfExX6jV5TIlzBA0U5Hj2E,De'Veon Smith,RB,ORL,5.97,3400
MhyVle_UIu23yo8WANee4OUPncIR,David Cobb,RB,SA,6.34,4100
MgWqgIYh39TaLl2VCdS8tsfiVWxV,D'Ernest Johnson,RB,ORL,5.65,4600
MpcFBQh6-Fg1SlkG43E2ZJu4F13w,Rajion Neal,RB,MEM,5.17,4100
MsbPuETToV8YVFQPwTrERk9SgJlw,Aaron Green,RB,SA,3.61,4900
Mv5aLcnX86bjZaa2ms87A1SdYdZd,Terrence Magee,RB,MEM,3.78,3200
Msab37KDSF5Dmhxdpo2luJzxkEiP,Justin Stockton,RB,ARZ,3.69,3600
Mop_drX-yj7HIefEAlUHoDVCH_iA,Matt Asiata,RB,SLC,5.6,5200
MsSW7k2bvNdN0P0l5GxNqN339QSX,Anthony Manzo-Lewis,RB,MEM,3.72,3000
Mg_WjBJbfsSmhgblX-ChTqgx2QNj,Denard Robinson,RB,ATL,3.45,4200
MgiboeFU3bSFzK6KxPa-Xr10FHAw,Larry Rose III,RB,ARZ,4.88,3500
MlZbM0ABiwcViZmr5VvEVRo-Ic5k,Paul James,RB,SD,2.89,3000
MkpRgd5SNWd31jHiLxntSELkwYKP,Terrell Watson,RB,SD,1.93,3000
MmbkMuW2p6t8_L4aprsO3viyTzyY,Lawrence Pittman,RB,ATL,1.74,3000
MpRddErY_E8R7jc9BtPv9XlGkorE,Mekale McKay,WR,SA,13.49,6800
MjQdQplRusHyVzncTteLcd_4RdB4,Brian Brown,WR,SD,12.84,3000
MmdTzyAXr_06YKM9MvkpiX6Pysbd,Jalin Marshall,WR,ORL,13.56,5200
Mm7snAx05W5tu1iKEJZ1r5GxNG-z,Rashad Ross,WR,ARZ,12.96,6100
MgXuu1IplE-oQRh9H5EBHX0Uzs_J,Seantavius Jones,WR,ATL,12.26,6500
MvmOLxRYf5EpHnnw3KboJ64aj5U8,Quinton Patton,WR,BHM,11.92,6300
Mk4IH3V19RPzqhXq-wefiCcKGCg6,"Greg Ward, Jr.",WR,SA,10.57,5600
MhRTrUtStQOpZRmQASCkBgV0fhIJ,Reece Horn,WR,MEM,10.02,3200
MkJMaeehojJ_G2FTn43DdskqOBtE,Richard Mullaney,WR,ARZ,10.17,5100
Mvos-CiReB7Xgv_4M0LSY8WsAuH8,Charles Johnson,WR,ORL,12.66,6000
Mlkn1pQPSwR3LemN-XCL48ySzaYZ,Chris Thompson,WR,ORL,9.48,3600
MnFNOyNyHw3fXrcKp2lxuEu1-nwP,"Alton ""Pig"" Howard",WR,MEM,9.17,5400
MluzUXObHhe2cAWPPHcb4G54tlKb,Francis Owusu,WR,SD,8.78,5900
Ms7obZS7dFXxIdQMVfg1WsQJeF3y,Dontez Ford,WR,SD,8.19,5900
MlV-02inUXrsEEpYRJOewDTYBKEj,Ishmael Hyman,WR,ORL,7.78,3500
Ml9cOZHecV3pc9mEGX4ZR4Y6ZkMB,Amba Etta-Tawo,WR,BHM,7.71,6200
Mkzk3MIyF7JAQcd78N4W7Duh2SUq,Ervin Philips,WR,ATL,7.11,3000
MuFzhKGMHfLzIjrXrapTwDVc1-nX,Alonzo Moore,WR,SA,6.62,5100
MmuNa1g5wLa6Qj-ndC8Iav3eT1xT,Malachi Jones,WR,ATL,10.01,5700
MnhMeRsiWw6LMqSeT11jQLPbC19v,Adonis Jennings,WR,SLC,6.35,3500
Mm0slpmHcp2rAoyy_YujtIOMalki,Kameron Kelly,WR,SD,6.87,3400
Mumm8PK_wY3MZXSOMTik0hsIp6Ly,Tobias Palmer,WR,BHM,6.56,4300
MhUElmUUm5ItoKzS_lLIuWNenhRM,De'Mornay Pierson-El,WR,SLC,6.46,3500
MnvL6-GbEKvM2KNii88YtoXpeeCF,Jordan Leslie,WR,SLC,6.53,5600
MiIK7hSbu0NBdYcQyeRrXYckoMiR,Justin Thomas,WR,ATL,5.81,5300
MtrMUn2A9gmLtX-r9HO6AkYUy6XR,Rannell Hall,WR,ORL,6.38,3000
MqZf-3qxsCos4Y7zFSAGW72De8Qa,Josh Huff,WR,ARZ,6.17,5800
MvEvRFFI39o_zKhDxJObMb9OAJA5,Fabian Guerra,WR,MEM,5.64,5400
Mouig89pVdE03nmLvHe4S9gpJ01y,John Diarse,WR,SA,5.29,3400
Mq-GmGW4EfGjMYsrlxSJKz4Rpa6d,Bug Howard,WR,ATL,5.17,4700
MvMPK87RjthDpgkxi-5PMRJI56FG,Marquis Bundy,WR,ARZ,5.37,3000
MvRhbzA3GEwC-zxSrwZWFZV76v8-,Kayaune Ross,WR,MEM,6.59,3000
MuShKYY0K9EeX6CMhI3AqqdV8t4e,Kenny Bell,WR,SLC,6.32,4800
