name,position,team,projection,id,fb_salary
Garrett Gilbert,QB,ORL,21.09,MqGd44MUMsf1cWf9eclgu5gZxo_b,7100
Josh Woodrum,QB,SL,13.04,Mg7ESCLcQeEi-Z0oZGFiwY2--zlS,6200
Trevor Knight,QB,ARI,11.43,MvM6zxqfCqHooC6YhCoxuaHlBAMU,5300
Zach Mettenberger,QB,MEM,11.29,MjnRSiLQsYyZvE5hxod1B0h_Ignj,5500
Luis Perez,QB,BIR,10.92,Mm7AJ6Byhebu0DEBXteDAaFkzjWH,5400
Philip Nelson,QB,SD,10.01,MmmuFoG-vnNtsk7UNiIQVAlP6iFp,6100
Logan Woodside,QB,SA,9.54,MiUKbbFISV5aL8sntaxSOLtUpPRE,5800
Matt Simms,QB,ATL,8.4,MrheAoooRuZ0B2xqcIr7XnBLZDoW,5900
Marquise Williams,QB,SA,3.46,MupH198whtLyGoCnan_zhuBONP-0,5200
Aaron Murray,QB,ATL,0.06,MrCulWiIV_vBdrkYTrojBDpun75X,5100
Trent Richardson,RB,BIR,16.05,MjiTEx33U92uj4oT_o0nS86vlwP9,7600
Jhurell Pressley,RB,ARI,10.54,Mqov-trF95R18wq3KsfAxd4YinmG,5000
Zac Stacy,RB,MEM,10.5,MjQz3RHcgjyoXXVYFkrbYJBL3yvn,6200
Ja'Quan Gardner,RB,SD,10.5,Mqs-U1gQrf9_eTiz3LS8GR68hjsZ,7000
D'Ernest Johnson,RB,ORL,10.33,MgWqgIYh39TaLl2VCdS8tsfiVWxV,5500
Branden Oliver,RB,SL,9.93,MsSyIj8ll2VgHiA2jn2sa1vGnFgt,5300
Terrell Watson,RB,SD,9.37,MkpRgd5SNWd31jHiLxntSELkwYKP,4900
Justin Stockton,RB,ARI,8.38,Msab37KDSF5Dmhxdpo2luJzxkEiP,3400
De'Veon Smith,RB,ORL,8.35,MrcbTGRfExX6jV5TIlzBA0U5Hj2E,4200
"Kenneth Farrow, II",RB,SA,7.57,MsQPaUeKdRzJSNKUmf9eYi6fhFDv,5200
Joel Bouagnon,RB,SL,7.3,MoIfI6pzRT6PEupCPEz5uDPNSp9E,5400
Denard Robinson,RB,ATL,6.43,Mg_WjBJbfsSmhgblX-ChTqgx2QNj,3200
Akrum Wadley,RB,ATL,6.25,Mr7oBK_kj71615Ehxf9STz61Vmk8,4300
Trey Williams,RB,SA,6.17,Mv1x5oSVJFjxcBN5MwJ58Fp7WOcf,4100
Ladarius Perkins,RB,BIR,5.08,Mg5pmFv_IbDbejfUsLji-uwwKVUv,3700
Terrence Magee,RB,MEM,4.51,Mv5aLcnX86bjZaa2ms87A1SdYdZd,3400
Tim Cook,RB,ARI,4.35,Mhbe28QXW-wYnR-q3KPOP8y4ydgD,3100
Lawrence Pittman,RB,ATL,3.82,MmbkMuW2p6t8_L4aprsO3viyTzyY,3500
Sherman Badie,RB,MEM,3.33,MoMLwv0BMkB3spUFMbLxO_bsFEQ3,4500
Akeem Hunt,RB,ORL,3.3,Muh23P6Whs1oYp8njPCCEt0psh-G,4800
Ty Isaac,RB,BIR,2.79,MsyVDBtdKsgCYjpATLWxD0sH7Blm,3100
Terrell Newby,RB,SL,2.78,MhpQ_EdOOdPGE72Xu2X1U6pw4jKi,3100
David Cobb,RB,SA,2.73,MhyVle_UIu23yo8WANee4OUPncIR,3200
Anthony Manzo-Lewis,RB,MEM,1.75,MsSW7k2bvNdN0P0l5GxNqN339QSX,3000
Rashad Ross,WR,ARI,15.23,Mm7snAx05W5tu1iKEJZ1r5GxNG-z,6900
Charles Johnson,WR,ORL,14.06,Mvos-CiReB7Xgv_4M0LSY8WsAuH8,7200
Jalin Marshall,WR,ORL,13.49,MmdTzyAXr_06YKM9MvkpiX6Pysbd,5600
Mekale McKay,WR,SA,11.34,MpRddErY_E8R7jc9BtPv9XlGkorE,6300
Quinton Patton,WR,BIR,10.93,MvmOLxRYf5EpHnnw3KboJ64aj5U8,6500
Nelson Spruce,WR,SD,9.66,MtpaAkW1xD2OB6d8qJ8wyp5wSx5_,6000
L'Damian Washington,WR,BIR,9.62,MpyqEM1_gXIsD4IUZIqZWH4orGOo,4600
Reece Horn,WR,MEM,9.39,MhRTrUtStQOpZRmQASCkBgV0fhIJ,4800
Josh Huff,WR,ARI,9.08,MqZf-3qxsCos4Y7zFSAGW72De8Qa,5700
Brian Brown,WR,SD,8.38,MjQdQplRusHyVzncTteLcd_4RdB4,4900
Brian Tyms,WR,SL,8.3,MhfUsZoRzun-PJwfaZuaJS10nFTd,3000
Rannell Hall,WR,ORL,8.17,MtrMUn2A9gmLtX-r9HO6AkYUy6XR,5000
Gerrard Sheppard,WR,MEM,8.04,Mpc5pPtq5oFQrAk8nDVXnbKV4P1D,4200
De'Mornay Pierson-El,WR,SL,7.97,MhUElmUUm5ItoKzS_lLIuWNenhRM,6200
Seantavius Jones,WR,ATL,7.53,MgXuu1IplE-oQRh9H5EBHX0Uzs_J,5800
"Greg Ward, Jr.",WR,SA,7.28,Mk4IH3V19RPzqhXq-wefiCcKGCg6,5400
De'Marcus Ayers,WR,SA,6.63,MuzB8aju0aGjhWzwt81_5-k3bWva,5100
Malachi Jones,WR,ATL,6.45,MmuNa1g5wLa6Qj-ndC8Iav3eT1xT,6100
Adonis Jennings,WR,SL,6.37,MnhMeRsiWw6LMqSeT11jQLPbC19v,3100
"Alton ""Pig"" Howard",WR,MEM,6.17,MnFNOyNyHw3fXrcKp2lxuEu1-nwP,4400
Ervin Philips,WR,ATL,6.12,Mkzk3MIyF7JAQcd78N4W7Duh2SUq,3200
Dontez Ford,WR,SD,5.45,Ms7obZS7dFXxIdQMVfg1WsQJeF3y,4200
Kenny Bell,WR,SL,5.1,MuShKYY0K9EeX6CMhI3AqqdV8t4e,4400
Devin Lucien,WR,MEM,4.88,Mg8t9oQKqwdsKIyXSmqRSW_X70cM,4300
Tobias Palmer,WR,BIR,4.88,Mumm8PK_wY3MZXSOMTik0hsIp6Ly,3600
Montay Crockett,WR,ATL,4.85,Mk5lf0dU6nBJfH5Gbsl59VPbwcyu,4400
Marquis Bundy,WR,ARI,4.81,MvMPK87RjthDpgkxi-5PMRJI56FG,4500
Dontez Byrd,WR,MEM,4.69,MpZypZ4X4DO9uNQNzutAgaUT0XKI,3900
Alonzo Moore,WR,SA,4.44,MuFzhKGMHfLzIjrXrapTwDVc1-nX,4300
Freddie Martino,WR,ARI,4.04,MrbAjODhVSr6W7hTaAmC8u0WN9pK,3700
DeVozea Felton,WR,BIR,3.93,MsPpBdm_TA_D_k1EJ62-ovlO9mah,4000
James Quick,WR,ATL,3.77,MjqXp-M0egZj0qqf9VW--WdOhYOU,3600
Francis Owusu,WR,SD,3.11,MluzUXObHhe2cAWPPHcb4G54tlKb,3100
Chris Thompson,WR,ORL,2.37,Mlkn1pQPSwR3LemN-XCL48ySzaYZ,3800
Josh Stewart,WR,SA,2.26,MgT56rsYAvlu70T8IUGLqULDIn4W,3300
Quan Bray,WR,BIR,1.92,MmswBWT__IFVOjgErBIPv-ypTyG7,3100
Laquvionte Gonzalez,WR,SD,1.49,Mvj-Md_UANIB0mUeSN6xIge4-xEg,3400
Sam Mobley,WR,SL,1.3,MgL4D_RHJ9sR9_cgr7jc_wknKh73,3200
Donteea Dye Jr.,WR,ORL,0.6,MrxsVJwCGFXBajsksqfAYwPZbFtK,3000
Gavin Escobar,TE,SD,7.85,MpWMIkFb1L5PEgV4vYswWm1p0gEO,4700
"Wes Saxton, Jr.",TE,BIR,7.1,MkXtS_Yu0mkc3BP5bNBQeSCOTJvC,3600
Gerald Christian,TE,ARI,5.79,MrC-mlcr-mSePbIBVLTOeXgH2s6b,3300
Evan Rodriguez,TE,SA,5.59,Mp30XHE6WaeCGjZAycOZ50NgWvu2,3900
Keith Towbridge,TE,ATL,4.63,Mof0DIIcKBs9BlqLq7I1kGSR4pnx,3500
Thomas Duarte,TE,ARI,4.2,Mpz1d05mfi4t5VeyehpsANqewBsr,3700
Brandon Barnes,TE,MEM,4.13,Mg89OyTmItplfDaiI18qnQn6A-Kr,4000
Scott Orndoff,TE,ORL,3.03,Moi9AWTLwLF-WmHNRk8tzww8hRT8,3800
Anthony Denham,TE,SL,2.42,MugplZamc2FccLEXfQhqTP78rMH0,3000
Nick Truesdell,TE,SL,2.39,MnZyXGX8iVvUgvjJtqLho4ON0yH6,3300
Marcus Baugh,TE,SD,2.3,MnSbN3NKTWGgbhSjjM2pzQ_20YJd,3100
Jonathan Powell,TE,BIR,1.63,#N/A,
Sean Price,TE,ORL,1.51,MkiXHB9MYn5EIMB45S7Fibn3RG3M,3100
Connor Hamlett,TE,ARI,0.87,MsuqKLUycZ4oZeSa_8mp-GpOy_Gd,3000
Matt Weiser,TE,ORL,0.82,Mljhybw7om52eXm6ZeD_ANOK77jn,3000
Adrien Robinson,TE,MEM,0.77,MmMr1PqQzXo0ZVHk39O2j4ktgFhu,3000
Ben Johnson,TE,SD,0.74,Mnc8xISXCM-ArpeuLVABzhBG1xBr,3200
Charles Standberry Jr.,TE,ATL,0.73,Mm2ZwVxSGkw3OqT1GyqzErHBxJeK,3000
Cole Hunt,TE,SA,0.71,MvipIa5L9gbYdZQ29j_alrn4nZHC,3200
Austin Traylor,TE,SL,0.71,MruASXlN9ksMnvFg3zcDg_6dISTx,3000
Bug Howard,TE,ATL,0.51,Mq-GmGW4EfGjMYsrlxSJKz4Rpa6d,3100
