name,id,position,team,projection,fb_salary
John Wolford,MkPvvbYvaVNNPxdSnPAYxFKkEa0Y,QB,ARI,17.11,6000
Garrett Gilbert,MqGd44MUMsf1cWf9eclgu5gZxo_b,QB,ORL,16.94,6800
Aaron Murray,MrCulWiIV_vBdrkYTrojBDpun75X,QB,ATL,16.56,5900
Zach Mettenberger,MjnRSiLQsYyZvE5hxod1B0h_Ignj,QB,MEM,15.16,6100
Logan Woodside,MiUKbbFISV5aL8sntaxSOLtUpPRE,QB,SA,13.8,5500
Josh Woodrum,Mg7ESCLcQeEi-Z0oZGFiwY2--zlS,QB,SL,13.16,5700
Mike Bercovici,Mlx6Z1X5i5Av-jLpFjMD0O5wHPBX,QB,SD,9.09,5000
Luis Perez,Mm7AJ6Byhebu0DEBXteDAaFkzjWH,QB,BIR,8.52,5300
Alex Ross,MmvHKLCRyZq-N-Gt2TxaMx3PtX1B,QB,SD,1.15,5600
Marquise Williams,MupH198whtLyGoCnan_zhuBONP-0,QB,SA,0.82,5000
Matt Simms,MrheAoooRuZ0B2xqcIr7XnBLZDoW,QB,ATL,0.42,5800
Trevor Knight,MvM6zxqfCqHooC6YhCoxuaHlBAMU,QB,ARI,0.22,5000
Trent Richardson,MjiTEx33U92uj4oT_o0nS86vlwP9,RB,BIR,15.22,7300
"Kenneth Farrow, II",MsQPaUeKdRzJSNKUmf9eYi6fhFDv,RB,SA,14.01,6700
Zac Stacy,MjQz3RHcgjyoXXVYFkrbYJBL3yvn,RB,MEM,13.78,6300
Jhurell Pressley,Mqov-trF95R18wq3KsfAxd4YinmG,RB,ARI,12.27,6900
Joel Bouagnon,MoIfI6pzRT6PEupCPEz5uDPNSp9E,RB,SL,9.52,5300
D'Ernest Johnson,MgWqgIYh39TaLl2VCdS8tsfiVWxV,RB,ORL,9.39,5000
Ja'Quan Gardner,Mqs-U1gQrf9_eTiz3LS8GR68hjsZ,RB,SD,9.25,5600
Tarean Folston,Mr5k7hAZFnvFAoDhfOnpMECSCZeC,RB,ATL,9.07,4200
Denard Robinson,Mg_WjBJbfsSmhgblX-ChTqgx2QNj,RB,ATL,7.8,3700
Justin Stockton,Msab37KDSF5Dmhxdpo2luJzxkEiP,RB,ARI,7.6,3200
Terrell Watson,MkpRgd5SNWd31jHiLxntSELkwYKP,RB,SD,7.55,5200
Terrell Newby,MhpQ_EdOOdPGE72Xu2X1U6pw4jKi,RB,SL,7.48,3300
