name,team,carries,yards,ypc,tds,two_pt,snap_count,snap_percentage,routes_ran,targets,catches,receiving_yards,receiving_tds,red_zone_snaps,red_zone_touches,goal_line_2pt_snaps,goal_line_2pt_touches,third_down_snaps,third_down_touches,touch_percentage
Jhurell Pressley,ARI,18,64,3.6,0,1,41,61%,12,2,1,30,1,3,2,2,1,9,4,61%
Larry Rose,ARI,6,16,2.7,0,1,12,18%,5,0,0,0,0,4,1,3,1,1,0,18%
Justin Stockton,ARI,7,46,6.6,0,0,14,21%,5,0,0,0,0,0,0,1,0,2,0,21%
Akeem Hunt,ORL,10,73,7.3,0,0,30,52%,8,3,0,0,0,7,2,5,1,5,1,52%
De’Veon Smith,ORL,5,13,2.6,1,1,15,26%,7,1,1,8,0,2,1,3,2,3,2,24%
D’Ernest Johnson,ORL,5,35,7,0,0,12,21%,3,1,1,33,1,2,1,2,1,3,1,24%
Trent Richardson,BIR,23,58,2.5,2,1,47,67%,17,3,1,14,0,9,7,5,5,8,4,67%
Ladarius Perkins,BIR,5,13,2.6,0,0,23,33%,16,8,6,36,0,6,3,0,0,7,5,33%
Kenneth Farrow,SA,14,37,2.6,1,0,38,49%,14,0,0,0,0,6,2,2,1,12,1,44%
Aaron Green,SA,6,43,7.2,0,0,19,25%,7,1,1,3,0,5,1,2,0,3,2,22%
David Cobb,SA,9,36,4,0,0,21,27%,9,2,1,5,0,4,3,0,0,1,0,34%
Joel Bouagnon,SL,16,39,2.4,0,0,32,46%,7,0,0,0,0,7,4,1,1,9,2,50%
Branden Oliver,SL,8,40,5,0,1,26,38%,9,3,1,6,0,1,1,1,1,6,1,34%
Matt Asiata,SL,4,4,1,1,0,11,16%,3,1,0,0,0,5,3,4,2,2,0,16%
Ja’Quan Gardner,SD,8,55,6.9,0,0,29,47%,11,3,2,17,0,0,0,0,0,3,1,69%
Paul James,SD,1,0,0,0,0,21,34%,15,1,0,0,0,3,2,0,0,8,1,13%
Terrell Watson,SD,3,10,3.3,0,0,9,15%,3,0,0,0,0,0,0,0,0,1,0,19%
Zac Stacy,MEM,12,58,4.8,0,0,22,39%,5,0,0,0,0,2,1,0,0,4,1,41%
Terrence Magee,MEM,5,18,3.6,0,0,21,37%,5,0,0,0,0,2,1,0,0,5,1,17%
Raijon Neal,MEM,3,4,1.3,0,0,14,25%,8,5,3,12,0,0,0,0,0,2,1,28%
Anthony Manzo-Lewis,MEM,4,14,3.5,0,0,23,40%,3,0,0,0,0,0,0,0,0,0,0,14%
Tarean Folston,ATL,12,32,2.7,0,0,34,54%,20,4,3,13,0,3,0,0,0,7,2,64%
Denard Robinson,ATL,5,3,0.6,0,0,19,30%,8,1,1,5,0,3,1,0,0,6,1,24%
Lawrence Pittman,ATL,3,24,8,0,0,9,14%,6,0,0,0,0,1,1,0,0,1,0,12%
