name,team,carries,yards,ypc,tds,two_pt,snap_count,snap_percentage,routes_ran,targets,catches,receiving_yards,receiving_tds,red_zone_snaps,red_zone_touches,goal_line_2pt_snaps,goal_line_2pt_touches,third_down_snaps,third_down_touches,touch_percentage,games_played,fantasy_points
Akrum Wadley,ATL,4,12,3,0,0,31,27%,21,8,8,70,0,4,2,1,0,11,2,23%,1,16.2
Trent Richardson,BIR,42,99,2.4,3,1,91,69%,34,10,7,64,0,13,11,8,6,19,9,73%,2,41.3
Ladarius Perkins,BIR,5,13,2.6,0,0,33,25%,24,10,8,41,0,6,3,0,0,10,6,21%,2,11.4
Aaron Green,SA,12,62,5.2,0,0,50,31%,27,6,4,38,0,7,2,3,0,8,3,28%,2,14
D’Ernest Johnson,ORL,13,92,7.1,0,0,25,24%,11,2,1,33,1,3,1,3,1,4,1,33%,2,19.5
Jhurell Pressley,ARI,30,121,4,0,1,69,54%,20,2,1,30,1,6,4,6,2,17,7,50%,2,24.1
Branden Oliver,SL,22,99,4.5,0,1,48,36%,14,5,3,27,0,7,5,2,2,9,1,42%,2,17.6
Kenneth Farrow,SA,27,111,4.1,2,0,70,44%,28,2,2,25,0,14,4,6,3,23,4,45%,2,27.6
Ja’Quan Gardner,SD,23,159,6.9,2,0,62,47%,21,5,3,24,0,3,2,0,0,4,1,60%,1,33.3
De’Veon Smith,ORL,9,17,1.9,2,2,35,33%,17,4,3,18,0,6,4,7,4,6,4,29%,2,18.5
Tarean Folston,ATL,18,52,2.9,0,0,42,36%,21,4,3,13,0,3,0,0,0,7,2,42%,2,9.5
Akeem Hunt,ORL,12,69,5.8,0,0,44,42%,17,5,1,12,0,10,4,6,2,8,1,38%,2,9.1
Joel Bouagnon,SL,27,109,4,1,0,51,38%,11,1,1,11,0,8,5,3,3,11,3,43%,2,19
Raijon Neal,MEM,8,15,1.9,0,0,25,22%,12,6,4,10,0,0,0,0,0,8,2,24%,2,6.5
Zac Stacy,MEM,31,159,5.1,1,0,50,43%,13,2,2,8,0,8,6,3,1,8,3,56%,2,24.7
David Cobb,SA,16,53,3.3,0,0,40,25%,14,2,1,5,0,8,4,3,2,5,1,28%,2,6.8
Denard Robinson,ATL,5,3,0.6,0,0,19,17%,8,1,1,5,0,3,1,0,0,6,1,12%,1,1.8
Justin Stockton,ARI,11,100,9.1,1,0,25,20%,9,1,1,4,0,1,0,2,0,5,1,19%,2,17.4
Tim Cook,ARI,13,73,5.6,0,0,21,17%,2,1,1,4,1,1,1,1,1,2,0,22%,1,14.7
Terrence Magee,MEM,11,35,3.2,0,0,40,34%,15,1,1,4,0,5,3,1,0,14,3,20%,2,4.9
Ty Isaac,BIR,1,2,2,0,0,8,6%,5,3,2,4,0,0,0,0,0,2,1,6%,1,2.6
Terrell Newby,SL,2,0,0,0,0,19,14%,14,1,1,4,0,0,0,0,0,7,1,5%,1,1.4
Lawrence Pittman,ATL,12,66,5.5,0,0,22,19%,7,0,0,0,0,3,1,0,0,1,0,23%,2,6.6
Terrell Watson,SD,17,59,3.5,0,0,47,36%,15,0,0,0,0,12,5,2,1,13,1,36%,1,5.9
Larry Rose,ARI,6,16,2.7,0,1,12,9%,5,0,0,0,0,4,1,3,1,1,0,9%,1,1.6
Matt Asiata,SL,6,8,1.3,1,0,16,12%,6,1,0,0,0,6,4,4,2,4,0,11%,2,4.8
Paul James,SD,1,0,0,0,0,21,16%,15,1,0,0,0,3,2,0,0,8,1,4%,1,1
