name,team,carries,yards,ypc,tds,two_pt,snap_count,snap_percentage,routes_ran,targets,catches,receiving_yards,receiving_tds,red_zone_snaps,red_zone_touches,goal_line_2pt_snaps,goal_line_2pt_touches,third_down_snaps,third_down_touches,touch_percentage,games_played,fantasy_points
Jhurell Pressley,ARI,54,266,4.9,0,1,134,55%,36,11,6,46,1,10,5,9,2,30,14,57%,4,45.2
Justin Stockton,ARI,19,124,6.5,1,0,64,26%,17,4,4,26,0,10,1,3,0,12,3,20%,4,25
Tim Cook,ARI,19,87,4.6,0,0,35,20%,4,1,1,4,1,2,2,2,2,5,1,25%,3,16.1
Akrum Wadley,ATL,7,21,3,0,0,46,40%,31,11,11,99,0,6,3,3,0,14,2,38%,2,23
Tarean Folston,ATL,23,73,3.2,0,0,67,31%,39,11,8,79,0,8,2,0,0,18,5,37%,3,23.2
Lawrence Pittman,ATL,19,81,4.3,0,0,43,17%,15,3,2,10,0,9,4,5,3,3,1,21%,4,9.1
Denard Robinson,ATL,17,53,3.1,1,0,72,36%,32,6,4,7,0,18,8,1,0,18,2,27%,3,16
Trent Richardson,BIR,67,160,2.4,7,2,168,66%,77,22,15,105,0,27,21,17,13,29,12,67%,4,85.5
Ladarius Perkins,BIR,14,42,3,0,0,54,21%,34,14,12,64,0,7,4,0,0,15,7,21%,4,18.6
Brandon Ross,BIR,9,64,7.1,0,0,19,31%,8,1,1,2,0,2,0,0,0,5,1,32%,1,5.6
Ty Isaac,BIR,2,5,2.5,0,0,13,11%,8,4,3,13,0,0,0,1,0,3,2,9%,2,4.8
Zac Stacy,MEM,62,232,3.7,1,0,111,49%,32,9,7,29,0,14,11,8,3,22,8,57%,4,39.1
Terrence Magee,MEM,18,69,3.8,0,0,63,28%,24,4,4,14,1,7,5,4,2,20,4,18%,4,18.3
Sherman Badie,MEM,14,71,5.1,0,0,29,26%,13,3,2,31,0,1,1,0,0,7,0,26%,2,10.2
D’Ernest Johnson,ORL,34,202,5.9,1,0,77,35%,31,7,5,55,1,9,3,6,4,14,4,40%,4,42.7
De’Veon Smith,ORL,29,120,4.1,2,2,75,34%,29,5,3,18,0,9,6,9,4,16,9,32%,4,32.8
Akeem Hunt,ORL,22,113,5.1,1,0,68,30%,28,7,3,35,0,12,6,8,4,11,2,28%,4,23.8
Kenneth Farrow,SA,66,280,4.2,2,0,142,52%,45,5,4,23,0,33,18,12,8,36,10,56%,4,46.3
Aaron Green,SA,12,62,5.2,0,0,50,32%,27,6,4,38,0,7,2,3,0,8,3,28%,2,14
Trey Williams,SA,11,95,8.6,1,0,37,32%,18,4,3,19,0,5,1,0,0,8,4,24%,2,20.4
David Cobb,SA,20,60,3,0,0,48,17%,19,3,2,5,0,8,4,3,2,8,1,18%,4,8.5
Ja’Quan Gardner,SD,44,287,6.5,3,0,115,47%,43,9,7,58,0,7,4,1,1,14,6,56%,4,59.5
Terrell Watson,SD,40,175,4.4,0,3,108,44%,39,1,1,3,0,16,6,9,5,26,2,40%,4,24.8
Paul James,SD,1,0,0,0,0,22,19%,16,1,0,0,0,3,2,0,0,9,1,6%,1,1
Joel Bouagnon,SL,47,184,3.9,3,0,85,33%,19,3,2,12,0,13,10,6,5,22,12,39%,4,39.6
Branden Oliver,SL,54,210,3.9,1,1,109,45%,28,9,6,35,0,14,11,7,5,20,5,47%,4,38.5
Matt Asiata,SL,6,8,1.3,1,0,16,12%,6,1,0,0,0,6,4,4,2,4,0,10%,2,4.8
Terrell Newby,SL,6,19,3.2,0,1,38,21%,26,5,4,35,0,1,1,1,1,14,2,11%,3,11.4
