name,team,carries,yards,ypc,tds,two_pt,snap_count,snap_percentage,drives_played,routes_ran,targets,catches,receiving_yards,receiving_tds,air_yards,red_zone_snaps,red_zone_touches,goal_line_2pt_snaps,goal_line_2pt_touches,third_down_snaps,third_down_touches,touch_percentage
Jhurell Pressley,ARI,14,110,7.9,0,0,33,59%,9,8,5,4,13,0,,2,1,1,0,7,4,73%
Tim Cook,ARI,3,10,3.3,0,0,6,11%,1,0,0,0,0,0,0,0,0,0,0,2,0,12%
Justin Stockton,ARI,3,11,3.7,0,0,17,30%,5,4,1,1,3,0,,2,0,0,0,3,1,15%
Akeem Hunt,ORL,8,35,4.4,1,0,19,31%,3,8,1,1,19,0,,2,2,2,2,2,1,28%
De’Veon Smith,ORL,12,51,4.3,0,0,20,33%,4,5,1,0,0,0,,2,1,0,0,6,3,41%
D’Ernest Johnson,ORL,8,31,3.9,0,0,21,34%,5,10,2,2,4,0,,1,0,1,1,5,2,31%
Trent Richardson,BIR,8,15,1.9,1,0,34,56%,8,25,8,5,37,0,,3,3,4,3,4,3,52%
Ladarius Perkins,BIR,1,3,3,0,0,8,13%,3,6,4,4,23,0,,0,0,0,0,3,1,16%
Brandon Ross,BIR,9,64,7.1,0,0,19,31%,7,8,1,1,2,0,,2,0,0,0,5,1,32%
Kenneth Farrow,SA,30,142,4.7,0,0,46,74%,8,9,2,1,3,0,,13,11,6,5,9,4,82%
Trey Williams,SA,4,20,5,1,0,16,26%,5,7,2,1,6,0,,2,1,0,0,4,2,15%
David Cobb,SA,1,-1,-1,0,0,1,2%,1,0,0,0,0,0,0,0,0,0,0,0,0,3%
Joel Bouagnon,SL,8,30,3.8,1,0,10,20%,3,1,0,0,0,0,0,1,1,0,0,3,3,26%
Branden Oliver,SL,17,71,4.2,0,0,28,56%,5,6,2,2,10,0,,1,0,0,0,4,2,13%
Terrell Newby,SL,2,15,7.5,0,1,11,22%,4,8,2,2,17,0,,1,1,1,1,5,1,13%
Ja’Quan Gardner,SD,9,6,0.7,0,0,30,49%,11,13,2,2,13,0,,3,2,1,1,5,1,52%
Terrell Watson,SD,10,43,4.3,0,1,30,49%,10,14,0,0,0,0,0,0,0,2,2,9,1,48%
Paul James,SD,0,0,0,0,0,1,2%,1,1,0,0,0,0,0,0,0,0,0,1,0,0%
Zac Stacy,MEM,18,39,2.2,0,0,33,60%,11,9,2,2,5,0,,4,3,5,2,9,3,61%
Sherman Badie,MEM,6,12,2,0,0,17,31%,8,9,2,1,15,0,,0,0,0,0,6,0,24%
Terrence Magee,MEM,3,6,2,0,0,8,15%,3,3,2,2,9,1,,2,2,1,1,1,0,15%
Denard Robinson,ATL,9,43,4.8,1,0,21,30%,8,8,2,1,4,0,,5,4,0,0,3,0,28%
Tarean Folston,ATL,5,21,4.2,0,0,25,36%,8,18,7,5,66,0,,5,2,0,0,11,3,31%
Lawrence Pittman,ATL,3,9,3,0,0,5,7%,3,1,0,0,0,0,0,2,1,1,1,1,1,8%
Brandon Ratcliff,ATL,12,48,4,0,0,19,27%,6,5,1,0,0,0,,6,4,0,0,0,0,33%
