name,team,carries,yards,ypc,tds,two_pt,snap_count,snap_percentage,drives_played,routes_ran,targets,catches,receiving_yards,receiving_tds,air_yards,red_zone_snaps,red_zone_touches,goal_line_2pt_snaps,goal_line_2pt_touches,third_down_snaps,third_down_touches,passing_situation_snaps,short_yardage_snaps,short_yardage_touches,running_gamescript_snaps,running_gamescript_touches,touch_perceantage
Jhurell Pressley,ARI,13,57,4.4,1,0,33,48%,9,12,2,1,9,1,,2,2,3,1,6,1,5,5,2,3,3,39%
Tim Cook,ARI,11,71,6.5,0,0,20,29%,5,3,0,0,0,0,,3,3,0,0,4,3,1,6,5,0,0,29%
Justin Stockton,ARI,12,37,3.1,0,0,16,23%,6,2,0,0,0,0,,0,0,0,0,3,1,3,0,0,0,0,32%
D’Ernest Johnson,ORL,9,43,4.8,0,0,38,50%,9,22,6,4,27,0,,4,1,1,0,8,2,10,6,3,0,0,58%
De’Veon Smith,ORL,9,39,4.3,0,0,25,33%,6,9,0,0,0,0,,4,3,1,0,6,2,2,4,3,0,0,35%
Akeem Hunt,ORL,2,12,6,0,0,13,17%,4,6,0,0,0,0,,2,0,1,1,1,0,3,1,0,0,0,8%
Trent Richardson,BIR,16,46,2.9,1,0,68,81%,13,45,12,7,44,1,,10,4,6,3,16,3,22,11,8,0,0,85%
Marshaun Coprich,BIR,2,7,3.5,0,0,16,19%,5,14,3,3,18,0,,0,0,0,0,3,1,4,1,1,0,0,15%
Kenneth Farrow,SA,9,35,3.9,1,1,26,53%,6,9,2,2,1,0,,6,3,6,2,7,2,5,8,3,0,0,50%
Trey Williams,SA,6,32,5.3,0,0,19,39%,6,8,2,1,2,0,,4,3,2,0,4,2,4,4,1,3,1,36%
Aaron Green,SA,3,9,3,0,0,4,8%,2,1,0,0,0,0,,0,0,0,0,1,1,1,0,0,3,3,14%
Joel Bouagnon,SL,19,60,3.2,0,0,38,58%,12,10,2,0,0,0,,9,5,4,2,8,3,2,8,4,9,9,75%
Terrell Newby,SL,3,14,4.7,0,1,6,10%,3,2,1,0,0,0,,0,0,1,1,1,1,2,2,2,0,0,14%
Terron Ward,SL,3,24,8,0,0,4,6%,2,0,0,0,0,0,0,1,1,1,1,1,1,0,2,2,2,1,11%
Ja’Quan Gardner,SD,8,19,2.4,0,0,21,36%,10,9,2,2,33,0,,1,0,0,0,1,1,1,2,2,0,0,43%
Terrell Watson,SD,8,38,4.8,1,0,29,49%,14,10,2,2,17,1,,6,3,7,2,11,1,10,9,3,0,0,43%
Bishop Sankey ,SD,2,12,6,0,0,6,10%,3,4,1,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,13%
Zac Stacy,MEM,11,31,2.8,0,0,37,65%,8,16,6,4,27,1,,5,3,1,1,9,2,11,2,1,0,0,77%
Terrence Magee,MEM,5,10,2,0,0,21,37%,6,5,0,0,0,0,0,5,1,1,0,7,0,9,1,0,0,0,23%
Tarean Folston,ATL,4,13,3.3,0,0,29,45%,8,20,5,5,8,1,,8,3,5,4,11,4,13,7,5,0,0,38%
Brandon Ratcliff,ATL,6,24,4,0,0,24,37%,8,15,6,5,27,0,,4,0,0,0,4,2,11,1,1,3,3,50%
Denard Robinson,ATL,3,14,4.7,0,0,11,17%,4,5,0,0,0,0,0,0,0,0,0,2,0,3,1,1,0,0,13%
