name,team,carries,yards,ypc,tds,two_pt,snap_count,snap_percentage,routes_ran,targets,catches,receiving_yards,receiving_tds,red_zone_snaps,red_zone_touches,goal_line_2pt_snaps,goal_line_2pt_touches,third_down_snaps,third_down_touches,touch_percentage,games_played
Jhurell Pressley,ARI,90,407,4.5,1,1,238,54%,83,18,10,85,2,20,10,18,4,51,20,51%,7
Tim Cook,ARI,53,244,4.6,1,0,90,23%,14,3,2,11,1,10,8,7,5,14,8,32%,6
Justin Stockton,ARI,39,199,5.1,1,0,102,24%,24,4,4,26,0,15,1,5,0,20,6,19%,7
Akrum Wadley,ATL,7,21,3,0,0,46,40%,31,11,11,99,0,6,3,3,0,14,2,38%,2
Tarean Folston,ATL,46,206,4.5,1,0,155,41%,90,24,21,129,2,31,15,10,7,44,15,41%,6
Lawrence Pittman,ATL,19,81,4.3,0,0,43,17%,15,3,2,10,0,9,4,5,3,3,1,21%,4
Denard Robinson,ATL,23,65,2.8,1,0,109,28%,47,11,7,37,0,19,8,1,0,23,2,20%,6
Brandon Ratcliff,ATL,35,126,3.6,0,0,90,34%,41,14,11,46,0,16,7,5,2,13,4,40%,4
Trent Richardson,BIR,107,283,2.6,10,4,327,70%,179,45,29,211,1,55,34,32,21,72,22,73%,7
Marshaun Coprich,BIR,2,7,3.5,0,0,28,18%,24,5,4,32,0,2,0,0,0,5,1,12%,2
Ladarius Perkins,BIR,14,42,3,0,0,67,21%,47,16,14,66,0,7,4,1,0,22,8,20%,5
Brandon Ross,BIR,12,72,6,0,0,31,26%,17,2,2,32,1,2,0,0,0,6,1,28%,2
Ty Isaac,BIR,2,5,2.5,0,0,13,11%,8,4,3,13,0,0,0,1,0,3,2,9%,2
Zac Stacy,MEM,99,318,3.2,3,0,224,57%,81,20,16,125,1,34,22,14,7,50,14,62%,7
Terrence Magee,MEM,31,95,3.1,1,1,112,29%,38,8,8,45,1,21,10,12,5,34,6,20%,7
Sherman Badie,MEM,16,74,4.6,0,0,35,23%,14,4,3,87,0,1,1,1,0,9,1,22%,3
D’Ernest Johnson,ORL,59,348,5.9,1,1,169,41%,82,21,16,182,1,24,8,14,6,30,9,40%,7
De’Veon Smith,ORL,65,318,4.9,5,3,141,34%,50,8,4,18,0,25,20,17,10,34,17,37%,7
Akeem Hunt,ORL,33,164,5,1,1,97,27%,41,9,5,49,0,14,6,9,5,14,2,26%,6
Ryan Green,ORL ,3,17,5.7,0,0,8,13%,3,0,0,0,0,3,1,0,0,0,0,9%,1
Kenneth Farrow,SA,95,344,3.6,4,1,215,48%,75,11,10,75,0,53,29,28,15,53,15,51%,7
Aaron Green,SA,22,87,4,0,0,81,25%,39,9,7,53,0,11,3,3,0,12,4,21%,5
Trey Williams,SA,33,168,5.1,1,0,91,31%,40,8,6,65,1,17,8,5,1,21,8,29%,5
David Cobb,SA,26,78,3,0,0,62,18%,22,3,2,5,0,9,5,4,3,11,1,19%,5
Ja’Quan Gardner,SD,64,311,4.9,3,0,164,37%,45,15,12,107,0,8,4,1,1,18,7,45%,7
Terrell Watson,SD,63,271,4.3,2,3,192,43%,78,9,7,76,1,38,16,25,12,58,9,40%,7
Paul James,SD,1,0,0,0,0,22,19%,16,1,0,0,0,3,2,0,0,9,1,6%,2
Bishop Sankey,SD,19,77,4.1,0,0,58,29%,31,5,4,18,0,3,0,1,0,7,1,30%,3
Joel Bouagnon,SL,86,315,3.7,5,0,188,42%,16,9,5,19,0,35,19,15,11,40,18,46%,7
Branden Oliver,SL,54,210,3.9,1,1,109,45%,28,9,6,35,0,14,11,7,5,20,5,47%,4
Matt Asiata,SL,7,10,1.4,1,0,19,9%,8,3,0,0,0,6,4,4,2,5,1,11%,3
Terrell Newby,SL,15,35,2.3,0,2,91,24%,62,14,10,96,1,5,2,3,2,25,5,16%,6
Terron Ward,SL,10,39,3.9,0,0,24,20%,11,2,1,0,0,3,1,1,1,7,3,24%,2
