name,team,carries,yards,ypc,tds,two_pt,snap_count,snap_percentage,drives_played,routes_ran,targets,catches,receiving_yards,receiving_tds,red_zone_snaps,red_zone_touches,goal_line_2pt_snaps,goal_line_2pt_touches,third_down_snaps,third_down_touches,passing_situation_snaps,short_yardage_snaps,short_yardage_touches,running_gamescript_snaps,running_gamescript_touches,touch_percentage
Jhurell Pressley,ARI,15,64,4.3,0,0,33,57%,9,9,1,1,13,0,4,2,1,0,6,3,5,4,3,2,1,53%
Tim Cook,ARI,11,53,4.8,0,0,15,26%,5,3,0,0,0,0,1,0,1,0,4,3,0,3,2,4,4,37%
Justin Stockton,ARI,3,9,3,0,0,10,17%,5,2,0,0,0,0,5,0,2,0,0,0,0,2,0,1,1,10%
D’Ernest Johnson,ORL,7,54,7.7,0,1,22,39%,4,10,2,2,27,0,7,2,4,2,3,1,7,3,2,4,3,26%
De’Veon Smith,ORL,13,40,3.1,3,1,19,33%,5,6,1,1,0,0,11,9,7,6,6,3,3,9,8,6,5,41%
Akeem Hunt,ORL,9,39,4.3,0,0,16,28%,5,7,2,2,14,0,0,0,0,0,2,0,2,1,1,6,6,32%
Trent Richardson,BIR,16,56,3.5,1,2,56,82%,9,32,6,3,25,0,18,9,7,4,20,6,13,11,7,4,3,92%
Marshaun Coprich,BIR,0,0,0,0,0,12,18%,5,10,2,1,14,0,2,0,0,0,2,0,3,0,0,0,0,8%
Kenneth Farrow,SA,8,4,0.5,0,0,21,34%,6,11,3,3,8,0,5,3,4,2,4,1,2,4,3,0,0,38%
Trey Williams,SA,6,19,3.2,0,0,18,29%,5,10,1,1,36,1,2,1,0,0,6,2,7,1,1,0,0,24%
Aaron Green,SA,4,4,1,0,0,9,15%,2,4,1,1,10,0,1,1,0,0,0,0,2,1,1,0,0,17%
David Cobb,SA,6,18,3,0,0,14,23%,5,3,0,0,0,0,1,1,1,1,3,0,2,2,2,3,2,21%
Joel Bouagnon,SL,9,35,3.9,0,0,20,35%,6,6,2,1,1,0,2,1,0,0,3,2,1,3,2,0,0,48%
Terrell Newby,SL,0,0,0,0,0,17,30%,7,15,3,2,28,1,2,1,1,0,5,1,6,1,0,0,0,13%
Terron Ward,SL,7,15,2.1,0,0,20,35%,8,11,2,1,0,0,2,0,0,0,6,2,6,3,3,0,0,39%
Ja’Quan Gardner,SD,3,2,0.7,0,0,4,6%,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13%
Terrell Watson,SD,10,44,4.4,1,0,27,38%,8,13,4,2,49,0,9,5,6,3,9,5,10,8,4,0,0,45%
Bishop Sankey ,SD,12,54,4.5,0,0,37,52%,10,21,1,1,6,0,3,0,1,0,5,0,13,1,0,0,0,42%
Zac Stacy,MEM,13,14,1.1,0,0,50,76%,9,24,3,3,24,0,11,4,2,0,13,4,16,5,1,0,0,76%
Terrence Magee,MEM,3,4,1.3,1,0,16,24%,5,7,2,2,9,0,7,3,4,1,5,1,5,4,1,0,0,24%
Tarean Folston,ATL,8,37,4.6,0,0,24,45%,7,13,2,2,19,0,5,3,1,1,6,2,7,4,2,1,1,43%
Brandon Ratcliff,ATL,6,23,3.8,0,0,19,36%,7,9,3,3,3,0,4,2,3,1,5,0,7,6,1,0,0,39%
Denard Robinson,ATL,2,4,2,0,0,10,19%,3,4,2,2,21,0,1,0,0,0,0,0,0,0,0,0,0,17%
