name,team,opponent,event_start,position,salary
Cobi Hamilton,ARI,SL,20:00 2019-02-10,WR,3000
Nick Stevens,SL,ARI,20:00 2019-02-10,QB,4900
Joel Bouagnon,SL,ARI,20:00 2019-02-10,RB,6200
Matt Asiata,SL,ARI,20:00 2019-02-10,RB,5200
Tyler Hoppes,SL,ARI,20:00 2019-02-10,TE,3000
Jordan Leslie,SL,ARI,20:00 2019-02-10,WR,5600
"Kenneth Walker, III",ARI,SL,20:00 2019-02-10,WR,3000
Korey Robertson,SL,ARI,20:00 2019-02-10,WR,3000
Joe Williams,SL,ARI,20:00 2019-02-10,RB,3000
Adonis Jennings,SL,ARI,20:00 2019-02-10,WR,3000
Nick Truesdell,SL,ARI,20:00 2019-02-10,TE,3000
Rashad Ross,ARI,SL,20:00 2019-02-10,WR,4600
Brandon Doughty,ARI,SL,20:00 2019-02-10,QB,4900
D.J. May,SL,ARI,20:00 2019-02-10,RB,3000
Tanner Balderree,SL,ARI,20:00 2019-02-10,TE,3700
Aaron Duckworth,SL,ARI,20:00 2019-02-10,RB,3000
John Crockett,ARI,SL,20:00 2019-02-10,RB,3000
Keith Jr. Rucker,SL,ARI,20:00 2019-02-10,RB,3000
Joseph Fauria,ARI,SL,20:00 2019-02-10,TE,3000
Kaelin Clay,SL,ARI,20:00 2019-02-10,WR,3200
John Wolford,ARI,SL,20:00 2019-02-10,QB,5500
Richard Mullaney,ARI,SL,20:00 2019-02-10,WR,5100
Terrell Newby,SL,ARI,20:00 2019-02-10,RB,3200
Tim Cook,ARI,SL,20:00 2019-02-10,RB,3100
De'Mornay Pierson-El,SL,ARI,20:00 2019-02-10,WR,4700
Larry Rose,ARI,SL,20:00 2019-02-10,RB,4900
Josh Woodrum,SL,ARI,20:00 2019-02-10,QB,6100
Dres Anderson,SL,ARI,20:00 2019-02-10,WR,3300
Matt Linehan,SL,ARI,20:00 2019-02-10,QB,4900
Sam Mobley,SL,ARI,20:00 2019-02-10,WR,4000
Kendal Thompson,SL,ARI,20:00 2019-02-10,WR,3000
Bryce Williams,ARI,SL,20:00 2019-02-10,TE,3000
Trevor Knight,ARI,SL,20:00 2019-02-10,QB,5300
Marquis Bundy,ARI,SL,20:00 2019-02-10,WR,3000
Jaelen Strong,ARI,SL,20:00 2019-02-10,WR,3300
Deion Holliman,ARI,SL,20:00 2019-02-10,WR,3000
Anthony Denham,SL,ARI,20:00 2019-02-10,TE,3200
Austin Allen,SL,ARI,20:00 2019-02-10,QB,4900
B.J. Daniels,SL,ARI,20:00 2019-02-10,QB,4900
Connor Hamlett,ARI,SL,20:00 2019-02-10,TE,3000
Kenny Bell,SL,ARI,20:00 2019-02-10,WR,6600
Justin Stockton,ARI,SL,20:00 2019-02-10,RB,3400
Corey Willis,ARI,SL,20:00 2019-02-10,WR,3000
Branden Oliver,SL,ARI,20:00 2019-02-10,RB,3600
Freddie Martino,ARI,SL,20:00 2019-02-10,WR,3700
Austin Traylor,SL,ARI,20:00 2019-02-10,TE,3000
Terron Ward,ARI,SL,20:00 2019-02-10,RB,3000
Anthony Amos,ARI,SL,20:00 2019-02-10,WR,3000
Gerald Christian,ARI,SL,20:00 2019-02-10,TE,3200
Josh Huff,ARI,SL,20:00 2019-02-10,WR,6700
Jhurell Pressley,ARI,SL,20:00 2019-02-10,RB,6700
Jack Heneghan,ARI,SL,20:00 2019-02-10,QB,4900
Thomas Duarte,ARI,SL,20:00 2019-02-10,TE,4800
Brett Thompson,MEM,BIR,16:00 2019-02-10,TE,3000
Luke Papilion,MEM,BIR,16:00 2019-02-10,TE,3000
Braedon Bowman,BIR,MEM,16:00 2019-02-10,TE,3000
Gerrard Sheppard,MEM,BIR,16:00 2019-02-10,WR,3000
Dontez Byrd,MEM,BIR,16:00 2019-02-10,WR,3900
Rajion Neal,MEM,BIR,16:00 2019-02-10,RB,4100
Marshaun Coprich,BIR,MEM,16:00 2019-02-10,RB,3000
Chris Givens,MEM,BIR,16:00 2019-02-10,WR,3000
Brandon Silvers,MEM,BIR,16:00 2019-02-10,QB,4900
"Alton ""Pig"" Howard",MEM,BIR,16:00 2019-02-10,WR,5400
Luis Perez,BIR,MEM,16:00 2019-02-10,QB,6000
Quan Bray,BIR,MEM,16:00 2019-02-10,WR,3000
Kenny Hilliard,MEM,BIR,16:00 2019-02-10,RB,3000
Adrien Robinson,MEM,BIR,16:00 2019-02-10,TE,4600
