id,name,team,opponent,event_start,position,salary
MjQdQplRusHyVzncTteLcd_4RdB4,Brian Brown,SD,SA,20:00 2019-02-24,WR,5700
MhCa7JbTmkeS_XZiwQNVy6GSLB-j,Aaron Peck,SD,SA,20:00 2019-02-24,TE,3000
MhWfGz0IuyCRkiX-EAi-eMNBCiyi,Brandon Shed,SA,SD,20:00 2019-02-24,WR,3000
MiCHa8E_-TOZ6Vdzl2vPkpsBAsI2,Malik Earl,SA,SD,20:00 2019-02-24,WR,3000
MiUKbbFISV5aL8sntaxSOLtUpPRE,Logan Woodside,SA,SD,20:00 2019-02-24,QB,6100
MjpjYSya6_frsZ8aGk_iDyL66DDV,Cam Clear,SA,SD,20:00 2019-02-24,TE,3000
MkSQkA0DlgEoiwU955Ir2v-_UhEF,Darius Prince,SA,SD,20:00 2019-02-24,WR,3000
Moh0d_KMCFYTe2--2roPBqgiZqV_,Dustin Vaughan,SA,SD,20:00 2019-02-24,QB,5000
MkpRgd5SNWd31jHiLxntSELkwYKP,Terrell Watson,SD,SA,20:00 2019-02-24,RB,4700
MlZbM0ABiwcViZmr5VvEVRo-Ic5k,Paul James,SD,SA,20:00 2019-02-24,RB,3000
MluzUXObHhe2cAWPPHcb4G54tlKb,Francis Owusu,SD,SA,20:00 2019-02-24,WR,4300
Mlx6Z1X5i5Av-jLpFjMD0O5wHPBX,Mike Bercovici,SD,SA,20:00 2019-02-24,QB,5200
Ms7obZS7dFXxIdQMVfg1WsQJeF3y,Dontez Ford,SD,SA,20:00 2019-02-24,WR,5100
MpWMIkFb1L5PEgV4vYswWm1p0gEO,Gavin Escobar,SD,SA,20:00 2019-02-24,TE,4400
MpRddErY_E8R7jc9BtPv9XlGkorE,Mekale McKay,SA,SD,20:00 2019-02-24,WR,6200
Mouig89pVdE03nmLvHe4S9gpJ01y,John Diarse,SA,SD,20:00 2019-02-24,WR,3000
MpBhJ3CZ5O38V01ldy5ZOOR2aELp,Devon Cajuste,SD,SA,20:00 2019-02-24,TE,3000
Mo5PJj3nJoBn8YPg5DKijJXdAfXS,Carl Whitley,SA,SD,20:00 2019-02-24,WR,3000
Mm0slpmHcp2rAoyy_YujtIOMalki,Kameron Kelly,SD,SA,20:00 2019-02-24,WR,3500
Mnc8xISXCM-ArpeuLVABzhBG1xBr,Ben Johnson,SD,SA,20:00 2019-02-24,TE,3000
MnSbN3NKTWGgbhSjjM2pzQ_20YJd,Marcus Baugh,SD,SA,20:00 2019-02-24,TE,3200
MmvHKLCRyZq-N-Gt2TxaMx3PtX1B,Alex Ross,SD,SA,20:00 2019-02-24,QB,5000
MmmuFoG-vnNtsk7UNiIQVAlP6iFp,Philip Nelson,SD,SA,20:00 2019-02-24,QB,5500
MlVa3Jfxajga4CWX5BAlQz1ZB37o,Wayne Capers,SD,SA,20:00 2019-02-24,WR,3000
MkmAhau0FGwzGtqivpJVBbM_Rv34,Jahad Thomas,SD,SA,20:00 2019-02-24,RB,3000
Mk4IH3V19RPzqhXq-wefiCcKGCg6,"Greg Ward, Jr.",SA,SD,20:00 2019-02-24,WR,5300
MkC7GxwD0CX0H67Q0a5BtAMszQc8,Dalton Sturm,SA,SD,20:00 2019-02-24,QB,5000
Mkd9QS5K8m9c-Y5kY-lcDXvRiPYP,Jevoni Robinson,SA,SD,20:00 2019-02-24,TE,3000
Mv1x5oSVJFjxcBN5MwJ58Fp7WOcf,Trey Williams,SA,SD,20:00 2019-02-24,RB,3600
MhyVle_UIu23yo8WANee4OUPncIR,David Cobb,SA,SD,20:00 2019-02-24,RB,3400
MhhKX-OyeMe8z_-2mAeojTPQur7g,Riley Smith,SA,SD,20:00 2019-02-24,WR,3000
MgT56rsYAvlu70T8IUGLqULDIn4W,Josh Stewart,SA,SD,20:00 2019-02-24,WR,3500
MgScDthiAkbMTa0nRqP2xaxVF5BI,Kyle Lewis,SD,SA,20:00 2019-02-24,WR,3000
MgSBuTO_lMSM8QMHzELn3XamvjiG,Kyle Allen,SA,SD,20:00 2019-02-24,QB,5000
