id,name,team,opponent,event_start,position,salary
Mg_WjBJbfsSmhgblX-ChTqgx2QNj,Denard Robinson,ATL,ARI,20:00 2019-03-03,RB,3200
MgXuu1IplE-oQRh9H5EBHX0Uzs_J,Seantavius Jones,ATL,ARI,20:00 2019-03-03,WR,5800
MgiboeFU3bSFzK6KxPa-Xr10FHAw,Larry Rose III,ARI,ATL,20:00 2019-03-03,RB,3300
Mhbe28QXW-wYnR-q3KPOP8y4ydgD,Tim Cook,ARI,ATL,20:00 2019-03-03,RB,3100
MiHUI6U2HGfaMX3s0w6-GEg1ERms,Joseph Fauria,ARI,ATL,20:00 2019-03-03,TE,3000
MiIK7hSbu0NBdYcQyeRrXYckoMiR,Justin Thomas,ATL,ARI,20:00 2019-03-03,WR,3300
MknoSN9MGmBuZzYLHMocyN2vdMN3,James Clark,ATL,ARI,20:00 2019-03-03,WR,3000
MnrSf8JxresR48TO7cfWeGP_-rcC,Bronson Hill,ATL,ARI,20:00 2019-03-03,RB,3000
Mof0DIIcKBs9BlqLq7I1kGSR4pnx,Keith Towbridge,ATL,ARI,20:00 2019-03-03,TE,3500
MkJMaeehojJ_G2FTn43DdskqOBtE,Richard Mullaney,ARI,ATL,20:00 2019-03-03,WR,3000
MrC-mlcr-mSePbIBVLTOeXgH2s6b,Gerald Christian,ARI,ATL,20:00 2019-03-03,TE,3300
MrSQS2wxF2mfqsspmu9k1xp0T5Ua,Anthony Amos,ARI,ATL,20:00 2019-03-03,WR,3000
MriNVkKuGd_7mZC31wwRWv2aZvyt,Terron Ward,ARI,ATL,20:00 2019-03-03,RB,3000
MsVVZ3LC_heuEr4PWNhGVHQeCy2Z,Corey Willis,ARI,ATL,20:00 2019-03-03,WR,3000
MpRU0C_0yu9AV3-irCNvEP4ik4Cu,Cobi Hamilton,ARI,ATL,20:00 2019-03-03,WR,3000
MpLSJ46k-Ofo2ScV_SnFatgxLtQq,Justin Holman,ATL,ARI,20:00 2019-03-03,QB,5000
MoGqBldvEW-p3_ryF0QTr1kfy6r_,"Kenneth Walker, III",ARI,ATL,20:00 2019-03-03,WR,3000
Mm7snAx05W5tu1iKEJZ1r5GxNG-z,Rashad Ross,ARI,ATL,20:00 2019-03-03,WR,6900
Mm0riXVGYMOcU0-4HX2X9MACj5kz,Brandon Doughty,ARI,ATL,20:00 2019-03-03,QB,5000
MmuNa1g5wLa6Qj-ndC8Iav3eT1xT,Malachi Jones,ATL,ARI,20:00 2019-03-03,WR,6100
MmbkMuW2p6t8_L4aprsO3viyTzyY,Lawrence Pittman,ATL,ARI,20:00 2019-03-03,RB,3500
Mkzk3MIyF7JAQcd78N4W7Duh2SUq,Ervin Philips,ATL,ARI,20:00 2019-03-03,WR,3200
MkpKbd9cizc4HjHP8RKBiKXmRtUz,Peter Pujals,ATL,ARI,20:00 2019-03-03,QB,5000
Mk5lf0dU6nBJfH5Gbsl59VPbwcyu,Montay Crockett,ATL,ARI,20:00 2019-03-03,WR,4400
Mm2ZwVxSGkw3OqT1GyqzErHBxJeK,Charles Standberry Jr.,ATL,ARI,20:00 2019-03-03,TE,3000
MkPvvbYvaVNNPxdSnPAYxFKkEa0Y,John Wolford,ARI,ATL,20:00 2019-03-03,QB,5700
MjqXp-M0egZj0qqf9VW--WdOhYOU,James Quick,ATL,ARI,20:00 2019-03-03,WR,3600
MvM6zxqfCqHooC6YhCoxuaHlBAMU,Trevor Knight,ARI,ATL,20:00 2019-03-03,QB,5300
MvRJwCF7_74J3VsAWRubhjoJgHM5,Bryce Williams,ARI,ATL,20:00 2019-03-03,TE,3000
MvMPK87RjthDpgkxi-5PMRJI56FG,Marquis Bundy,ARI,ATL,20:00 2019-03-03,WR,4500
Mu3ahBJhqQJBfhINO9AsuKwQQjAu,Jaelen Strong,ARI,ATL,20:00 2019-03-03,WR,3000
Mu0CsHf-olJEt5aQgvVNLyXY3QIx,Deion Holliman,ARI,ATL,20:00 2019-03-03,WR,3000
MtxZDLCI9Z9AfrQcpOyEKUQ0QHgg,Austin Duke,ATL,ARI,20:00 2019-03-03,WR,3000
MsuqKLUycZ4oZeSa_8mp-GpOy_Gd,Connor Hamlett,ARI,ATL,20:00 2019-03-03,TE,3000
Msab37KDSF5Dmhxdpo2luJzxkEiP,Justin Stockton,ARI,ATL,20:00 2019-03-03,RB,3400
Mr7oBK_kj71615Ehxf9STz61Vmk8,Akrum Wadley,ATL,ARI,20:00 2019-03-03,RB,4300
Mr5k7hAZFnvFAoDhfOnpMECSCZeC,Tarean Folston,ATL,ARI,20:00 2019-03-03,RB,3200
MrbAjODhVSr6W7hTaAmC8u0WN9pK,Freddie Martino,ARI,ATL,20:00 2019-03-03,WR,3700
MrC4LfT3GwLOnCAWsvExRaRLyldW,Jake Sutherland,ATL,ARI,20:00 2019-03-03,TE,3000
MrCulWiIV_vBdrkYTrojBDpun75X,Aaron Murray,ATL,ARI,20:00 2019-03-03,QB,5100
MrheAoooRuZ0B2xqcIr7XnBLZDoW,Matt Simms,ATL,ARI,20:00 2019-03-03,QB,5900
Mtccg6qR_cXjZPWD-JqIMgEmOgXU,Stephen Hill,ATL,ARI,20:00 2019-03-03,WR,3000
Mq-GmGW4EfGjMYsrlxSJKz4Rpa6d,Bug Howard,ATL,ARI,20:00 2019-03-03,WR,3100
MqZf-3qxsCos4Y7zFSAGW72De8Qa,Josh Huff,ARI,ATL,20:00 2019-03-03,WR,5700
Mq5jqU-HbUqVHtCp9BI77nm6KnRB,Bernard Reedy,ATL,ARI,20:00 2019-03-03,WR,3000
Mqz4RQPwnByj6JuzUIzmWhzhiSZw,Garrett Hudson,ATL,ARI,20:00 2019-03-03,TE,3000
Mqov-trF95R18wq3KsfAxd4YinmG,Jhurell Pressley,ARI,ATL,20:00 2019-03-03,RB,5000
Mq_R498PrH4WBG5Q138b6sQggVKp,Jack Heneghan,ARI,ATL,20:00 2019-03-03,QB,5000
Mp3zvfSwOo1W0Pu37w7W0tEq-jEF,Deniko Carter,ATL,ARI,20:00 2019-03-03,WR,3000
Mpz1d05mfi4t5VeyehpsANqewBsr,Thomas Duarte,ARI,ATL,20:00 2019-03-03,TE,3700
MhWfGz0IuyCRkiX-EAi-eMNBCiyi,Brandon Shed,SA,BIR,16:00 2019-03-03,WR,3000
MiCHa8E_-TOZ6Vdzl2vPkpsBAsI2,Malik Earl,SA,BIR,16:00 2019-03-03,WR,3000
MiUKbbFISV5aL8sntaxSOLtUpPRE,Logan Woodside,SA,BIR,16:00 2019-03-03,QB,5800
MjpjYSya6_frsZ8aGk_iDyL66DDV,Cam Clear,SA,BIR,16:00 2019-03-03,TE,3000
MkSQkA0DlgEoiwU955Ir2v-_UhEF,Darius Prince,SA,BIR,16:00 2019-03-03,WR,3000
Moh0d_KMCFYTe2--2roPBqgiZqV_,Dustin Vaughan,SA,BIR,16:00 2019-03-03,QB,5000
MjiTEx33U92uj4oT_o0nS86vlwP9,Trent Richardson,BIR,SA,16:00 2019-03-03,RB,7600
MkXtS_Yu0mkc3BP5bNBQeSCOTJvC,"Wes Saxton, Jr. ",BIR,SA,16:00 2019-03-03,TE,3600
Mmo4mbAD4Ss39YqyP4QDa78tOgyo,Jamal Robinson,BIR,SA,16:00 2019-03-03,WR,3000
MmswBWT__IFVOjgErBIPv-ypTyG7,Quan Bray,BIR,SA,16:00 2019-03-03,WR,3100
MsPpBdm_TA_D_k1EJ62-ovlO9mah,DeVozea Felton,BIR,SA,16:00 2019-03-03,WR,4000
MsWlWGFivq3_ThVsuPkEYl2t2gMZ,Brandon Ross,BIR,SA,16:00 2019-03-03,RB,3000
Mumm8PK_wY3MZXSOMTik0hsIp6Ly,Tobias Palmer,BIR,SA,16:00 2019-03-03,WR,3600
Mpe260WopCdu04wdxKraGyNjuaTT,Braedon Bowman,BIR,SA,16:00 2019-03-03,TE,3000
MpRddErY_E8R7jc9BtPv9XlGkorE,Mekale McKay,SA,BIR,16:00 2019-03-03,WR,6300
Mouig89pVdE03nmLvHe4S9gpJ01y,John Diarse,SA,BIR,16:00 2019-03-03,WR,3000
MpF9nUlq2CazMaVnaXVN9Cxnes98,Marshaun Coprich,BIR,SA,16:00 2019-03-03,RB,3000
Mo5PJj3nJoBn8YPg5DKijJXdAfXS,Carl Whitley,SA,BIR,16:00 2019-03-03,WR,3000
Mm7AJ6Byhebu0DEBXteDAaFkzjWH,Luis Perez,BIR,SA,16:00 2019-03-03,QB,5400
Mmn17YhtJ2sO5nrF_20WT9BB6c_c,Busta Anderson,BIR,SA,16:00 2019-03-03,TE,3000
Ml9cOZHecV3pc9mEGX4ZR4Y6ZkMB,Amba Etta-Tawo,BIR,SA,16:00 2019-03-03,WR,3000
Mk4IH3V19RPzqhXq-wefiCcKGCg6,"Greg Ward, Jr.",SA,BIR,16:00 2019-03-03,WR,5400
MkF5UPgoj0KxTC06w0oSTc74NNC8,Marcus McDade,BIR,SA,16:00 2019-03-03,QB,5000
MkC7GxwD0CX0H67Q0a5BtAMszQc8,Dalton Sturm,SA,BIR,16:00 2019-03-03,QB,5000
Mkd9QS5K8m9c-Y5kY-lcDXvRiPYP,Jevoni Robinson,SA,BIR,16:00 2019-03-03,TE,3000
Mv1x5oSVJFjxcBN5MwJ58Fp7WOcf,Trey Williams,SA,BIR,16:00 2019-03-03,RB,4100
Mg5pmFv_IbDbejfUsLji-uwwKVUv,Ladarius Perkins,BIR,SA,16:00 2019-03-03,RB,3700
MhyVle_UIu23yo8WANee4OUPncIR,David Cobb,SA,BIR,16:00 2019-03-03,RB,3200
MhhKX-OyeMe8z_-2mAeojTPQur7g,Riley Smith,SA,BIR,16:00 2019-03-03,WR,3000
MhEdk0XQnfjfHbj3AB3JlgfakHH9,Connor Davis,BIR,SA,16:00 2019-03-03,TE,3600
MgT56rsYAvlu70T8IUGLqULDIn4W,Josh Stewart,SA,BIR,16:00 2019-03-03,WR,3300
MgSBuTO_lMSM8QMHzELn3XamvjiG,Kyle Allen,SA,BIR,16:00 2019-03-03,QB,5000
Mgb_UtvY7qtHpPKINg1QkU5ov9OJ,Stehly Reden,SA,BIR,16:00 2019-03-03,TE,3000
MvmOLxRYf5EpHnnw3KboJ64aj5U8,Quinton Patton,BIR,SA,16:00 2019-03-03,WR,6500
MvipIa5L9gbYdZQ29j_alrn4nZHC,Cole Hunt,SA,BIR,16:00 2019-03-03,TE,3200
Mu4gOaZiYHNFV7pyrOxZm92AjVLZ,Blake Sims,BIR,SA,16:00 2019-03-03,QB,5000
MuzB8aju0aGjhWzwt81_5-k3bWva,De'Marcus Ayers,SA,BIR,16:00 2019-03-03,WR,5100
MvWci2BzKuGbiHfQ_GdyMZb3AtJo,Daryl Richardson,SA,BIR,16:00 2019-03-03,RB,3000
Muu-O7tNx67WRO10jxjMo9sXHK3a,Speedy Noil,SA,BIR,16:00 2019-03-03,WR,3000
MuMIoRMMnHjBlagLQoZ8W-WP6E-w,Amir Carlisle,BIR,SA,16:00 2019-03-03,WR,3000
MuFzhKGMHfLzIjrXrapTwDVc1-nX,Alonzo Moore,SA,BIR,16:00 2019-03-03,WR,4300
MupH198whtLyGoCnan_zhuBONP-0,Marquise Williams,SA,BIR,16:00 2019-03-03,QB,5200
MsyVDBtdKsgCYjpATLWxD0sH7Blm,Ty Isaac,BIR,SA,16:00 2019-03-03,RB,3100
MuYoCSN_reGSvVl8Z35Cp34r5CNV,Jack Bramswig,BIR,SA,16:00 2019-03-03,WR,3000
MtH3-LPouTERsZVdNt76JXxktD7N,Jake Hubenak,SA,BIR,16:00 2019-03-03,QB,5000
MseOmwcB9ERo5Yb_5ejbYhmFxa5b,Keith Price,BIR,SA,16:00 2019-03-03,QB,5000
MsbPuETToV8YVFQPwTrERk9SgJlw,Aaron Green,SA,BIR,16:00 2019-03-03,RB,3200
MsQPaUeKdRzJSNKUmf9eYi6fhFDv,"Kenneth Farrow, II",SA,BIR,16:00 2019-03-03,RB,5200
Mq1RStymgc8cFWxr8p8ySYfeWKpF,Lonnie Outlaw,BIR,SA,16:00 2019-03-03,WR,3000
MqGR0OsIc73esNR_54QUDDV-b4cW,Weslye Saunders,BIR,SA,16:00 2019-03-03,TE,3700
Mp30XHE6WaeCGjZAycOZ50NgWvu2,Evan Rodriguez,SA,BIR,16:00 2019-03-03,TE,3900
MpyqEM1_gXIsD4IUZIqZWH4orGOo,L'Damian Washington,BIR,SA,16:00 2019-03-03,WR,4600
MjQdQplRusHyVzncTteLcd_4RdB4,Brian Brown,SD,MEM,20:00 2019-03-02,WR,4900
MhCa7JbTmkeS_XZiwQNVy6GSLB-j,Aaron Peck,SD,MEM,20:00 2019-03-02,TE,3000
MlYbA1bE5pTsO11ZvxV5Nn1xsrYI,Ryan Timmons,MEM,SD,20:00 2019-03-02,WR,3000
Mnkh1iQb4Y5isX532bIn6EImwKO-,Brandon Silvers,MEM,SD,20:00 2019-03-02,QB,5000
Mt4gflZxeBPVG4lzKOMS1mXCg5_l,Dillon Beard,MEM,SD,20:00 2019-03-02,TE,3000
MkpRgd5SNWd31jHiLxntSELkwYKP,Terrell Watson,SD,MEM,20:00 2019-03-02,RB,4900
MlZbM0ABiwcViZmr5VvEVRo-Ic5k,Paul James,SD,MEM,20:00 2019-03-02,RB,3000
MluzUXObHhe2cAWPPHcb4G54tlKb,Francis Owusu,SD,MEM,20:00 2019-03-02,WR,3100
Mlx6Z1X5i5Av-jLpFjMD0O5wHPBX,Mike Bercovici,SD,MEM,20:00 2019-03-02,QB,5100
Ms7obZS7dFXxIdQMVfg1WsQJeF3y,Dontez Ford,SD,MEM,20:00 2019-03-02,WR,4200
MpkM19wHcTzqtPuDQxIovjKHekxo,Brett Thompson,MEM,SD,20:00 2019-03-02,TE,3000
Mph_vDZF7hYhTHbYAs9uSBy2_cQT,Luke Papilion,MEM,SD,20:00 2019-03-02,TE,3000
Mpc5pPtq5oFQrAk8nDVXnbKV4P1D,Gerrard Sheppard,MEM,SD,20:00 2019-03-02,WR,4200
MpZypZ4X4DO9uNQNzutAgaUT0XKI,Dontez Byrd,MEM,SD,20:00 2019-03-02,WR,3900
MpWMIkFb1L5PEgV4vYswWm1p0gEO,Gavin Escobar,SD,MEM,20:00 2019-03-02,TE,4700
MpBhJ3CZ5O38V01ldy5ZOOR2aELp,Devon Cajuste,SD,MEM,20:00 2019-03-02,TE,3000
Mn4R-c0RduILnqgZnvZjH3Jd8MVD,Chris Givens,MEM,SD,20:00 2019-03-02,WR,3000
MnFNOyNyHw3fXrcKp2lxuEu1-nwP,"Alton ""Pig"" Howard",MEM,SD,20:00 2019-03-02,WR,4400
Mm0slpmHcp2rAoyy_YujtIOMalki,Kameron Kelly,SD,MEM,20:00 2019-03-02,WR,3000
Mnc8xISXCM-ArpeuLVABzhBG1xBr,Ben Johnson,SD,MEM,20:00 2019-03-02,TE,3200
MnSbN3NKTWGgbhSjjM2pzQ_20YJd,Marcus Baugh,SD,MEM,20:00 2019-03-02,TE,3100
MmvHKLCRyZq-N-Gt2TxaMx3PtX1B,Alex Ross,SD,MEM,20:00 2019-03-02,QB,5000
MmdtBPUESCj6etrJlxQqHVJwRPKO,Kenny Hilliard,MEM,SD,20:00 2019-03-02,RB,3000
MmMr1PqQzXo0ZVHk39O2j4ktgFhu,Adrien Robinson,MEM,SD,20:00 2019-03-02,TE,3000
MmmuFoG-vnNtsk7UNiIQVAlP6iFp,Philip Nelson,SD,MEM,20:00 2019-03-02,QB,6100
MlVa3Jfxajga4CWX5BAlQz1ZB37o,Wayne Capers,SD,MEM,20:00 2019-03-02,WR,3000
MkmAhau0FGwzGtqivpJVBbM_Rv34,Jahad Thomas,SD,MEM,20:00 2019-03-02,RB,3000
Mjwho2KhxUh6xpMCmX3U-V_km0UF,Damore'ea Stringfellow,MEM,SD,20:00 2019-03-02,WR,3000
MjnRSiLQsYyZvE5hxod1B0h_Ignj,Zach Mettenberger,MEM,SD,20:00 2019-03-02,QB,5500
MjQz3RHcgjyoXXVYFkrbYJBL3yvn,Zac Stacy,MEM,SD,20:00 2019-03-02,RB,6200
MhrAJwyKga3UBoK-J_v307TucpTf,Troy Cook,MEM,SD,20:00 2019-03-02,QB,5000
Mv5aLcnX86bjZaa2ms87A1SdYdZd,Terrence Magee,MEM,SD,20:00 2019-03-02,RB,3400
Mg89OyTmItplfDaiI18qnQn6A-Kr,Brandon Barnes,MEM,SD,20:00 2019-03-02,TE,4000
Mg8t9oQKqwdsKIyXSmqRSW_X70cM,Devin Lucien,MEM,SD,20:00 2019-03-02,WR,4300
MgxG_MZnCIzQe61Rs-52kwgWmlWe,Colin Jeter,MEM,SD,20:00 2019-03-02,TE,3000
MhRTrUtStQOpZRmQASCkBgV0fhIJ,Reece Horn,MEM,SD,20:00 2019-03-02,WR,4800
MgScDthiAkbMTa0nRqP2xaxVF5BI,Kyle Lewis,SD,MEM,20:00 2019-03-02,WR,3000
MvqJnkN5sh8Byg8HsPF622BBTKGd,Bishop Sankey,SD,MEM,20:00 2019-03-02,RB,3000
Mvj-Md_UANIB0mUeSN6xIge4-xEg,Laquvionte Gonzalez,SD,MEM,20:00 2019-03-02,WR,3400
MvRhbzA3GEwC-zxSrwZWFZV76v8-,Kayaune Ross,MEM,SD,20:00 2019-03-02,WR,3000
MvEvRFFI39o_zKhDxJObMb9OAJA5,Fabian Guerra,MEM,SD,20:00 2019-03-02,WR,3000
MvZ6gLtpamosPsiiexXMnTl1DlPa,Christian Briggs,MEM,SD,20:00 2019-03-02,WR,3000
MvTT4xOoMN8rnyOaC30nCg5GEUA7,Larry Donnell,MEM,SD,20:00 2019-03-02,TE,3000
Mul2mvkoQSqrfJpTvU04gOWesuV-,Cordon Moog,MEM,SD,20:00 2019-03-02,RB,3000
